epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5365,1.80102,2.28081,1.5685,0.45299,0.30556,0.35308,0.20582,1.5205,2.20648,1.44668,0.00328502,0.00328502,0.00328502
2,28.9943,1.45905,1.39346,1.33813,0.58301,0.51212,0.44841,0.31789,1.33346,1.66498,1.27324,0.00661181,0.00661181,0.00661181
3,40.2456,1.3895,1.27974,1.25919,0.40705,0.29499,0.28136,0.20907,1.27423,1.96229,1.22827,0.00993199,0.00993199,0.00993199
4,49.1946,1.32583,1.20411,1.23136,0.56779,0.38586,0.48846,0.3684,1.32651,1.87206,1.28212,0.0099703,0.0099703,0.0099703
5,60.2648,1.32804,1.18761,1.21986,0.42131,0.53527,0.39092,0.30158,1.36755,1.83173,1.35105,0.0099604,0.0099604,0.0099604
6,71.2953,1.30282,1.16147,1.20849,0.56353,0.48561,0.50118,0.37004,1.29861,1.58338,1.24259,0.0099505,0.0099505,0.0099505
7,80.1014,1.29032,1.15155,1.20159,0.61194,0.42502,0.57652,0.4396,1.23041,1.66758,1.23358,0.0099406,0.0099406,0.0099406
8,90.9341,1.25716,1.11317,1.18054,0.62896,0.61974,0.60428,0.43146,1.33697,1.44221,1.25095,0.0099307,0.0099307,0.0099307
9,102.159,1.28361,1.09762,1.17864,0.68945,0.66061,0.68794,0.49893,1.16294,1.18629,1.13339,0.0099208,0.0099208,0.0099208
10,110.976,1.27497,1.08899,1.18406,0.49921,0.54116,0.4849,0.35089,1.35693,1.53863,1.29132,0.0099109,0.0099109,0.0099109
11,122.041,1.24009,1.07187,1.16788,0.80367,0.52992,0.63074,0.47981,1.17751,1.21112,1.18481,0.009901,0.009901,0.009901
12,132.37,1.23306,1.07645,1.16414,0.80811,0.6687,0.7503,0.53692,1.15459,0.97835,1.13075,0.0098911,0.0098911,0.0098911
13,141.8,1.26713,1.07469,1.17483,0.66381,0.55394,0.63261,0.4655,1.15463,1.33869,1.14824,0.0098812,0.0098812,0.0098812
14,152.741,1.23715,1.04469,1.16433,0.68091,0.55593,0.63141,0.48211,1.20892,1.16535,1.20822,0.0098713,0.0098713,0.0098713
